Date,Close,Volume
2010-04-20,1207.1700439453125,5316590000
2010-04-21,1205.93994140625,5724310000
2010-04-22,1208.6700439453125,6035780000
2010-04-23,1217.280029296875,5326060000
2010-04-26,1212.050048828125,5647760000
2010-04-27,1183.7099609375,7454540000
2010-04-28,1191.3599853515625,6342310000
2010-04-29,1206.780029296875,6059410000
2010-04-30,1186.68994140625,6048260000
2010-05-03,1202.260009765625,4938050000
2010-05-04,1173.5999755859375,6594720000
2010-05-05,1165.8699951171875,6795940000
2010-05-06,1128.1500244140625,10617810000
2010-05-07,1110.8800048828125,9472910000
2010-05-10,1159.72998046875,6893700000
2010-05-11,1155.7900390625,5842550000
2010-05-12,1171.6700439453125,5225460000
2010-05-13,1157.43994140625,4870640000
2010-05-14,1135.6800537109375,6126400000
2010-05-17,1136.93994140625,5922920000
2010-05-18,1120.800048828125,6170840000
2010-05-19,1115.050048828125,6765800000
2010-05-20,1071.5899658203125,8328570000
2010-05-21,1087.68994140625,5452130000
2010-05-24,1073.6500244140625,5224040000
2010-05-25,1074.030029296875,7329580000
2010-05-26,1067.949951171875,4521050000
2010-05-27,1103.06005859375,5698460000
2010-05-28,1089.4100341796875,4871210000
2010-06-01,1070.7099609375,5271480000
2010-06-02,1098.3800048828125,5026360000
2010-06-03,1102.8299560546875,4995970000
2010-06-04,1064.8800048828125,6180580000
2010-06-07,1050.469970703125,5467560000
2010-06-08,1062.0,6192750000
2010-06-09,1055.68994140625,5983200000
2010-06-10,1086.8399658203125,5144780000
2010-06-11,1091.5999755859375,4059280000
2010-06-14,1089.6300048828125,4425830000
2010-06-15,1115.22998046875,4644490000
2010-06-16,1114.6099853515625,5002600000
2010-06-17,1116.0400390625,4557760000
2010-06-18,1117.510009765625,4555360000
2010-06-21,1113.199951171875,4514360000
2010-06-22,1095.31005859375,4514380000
2010-06-23,1092.0400390625,4526150000
2010-06-24,1073.68994140625,4814830000
2010-06-25,1076.760009765625,5128840000
2010-06-28,1074.5699462890625,3896410000
2010-06-29,1041.239990234375,6136700000
2010-06-30,1030.7099609375,5067080000
2010-07-01,1027.3699951171875,6435770000
2010-07-02,1022.5800170898438,3968500000
2010-07-06,1028.06005859375,4691240000
2010-07-07,1060.27001953125,4931220000
2010-07-08,1070.25,4548460000
2010-07-09,1077.9599609375,3506570000
2010-07-12,1078.75,3426990000
2010-07-13,1095.3399658203125,4640460000
2010-07-14,1095.1700439453125,4521050000
2010-07-15,1096.47998046875,4552470000
2010-07-16,1064.8800048828125,5297350000
2010-07-19,1071.25,4089500000
2010-07-20,1083.47998046875,4713280000
2010-07-21,1069.5899658203125,4747180000
2010-07-22,1093.6700439453125,4826900000
2010-07-23,1102.6600341796875,4524570000
2010-07-26,1115.010009765625,4009650000
2010-07-27,1113.8399658203125,4725690000
2010-07-28,1106.1300048828125,4002390000
2010-07-29,1101.530029296875,4612420000
2010-07-30,1101.5999755859375,4006450000
2010-08-02,1125.8599853515625,4144180000
2010-08-03,1120.4599609375,4071820000
2010-08-04,1127.239990234375,4057850000
2010-08-05,1125.81005859375,3685560000
2010-08-06,1121.6400146484375,3857890000
2010-08-09,1127.7900390625,3979360000
2010-08-10,1121.06005859375,3979360000
2010-08-11,1089.469970703125,4511860000
2010-08-12,1083.6099853515625,4521050000
2010-08-13,1079.25,3328890000
2010-08-16,1079.3800048828125,3142450000
2010-08-17,1092.5400390625,3968210000
2010-08-18,1094.1600341796875,3724260000
2010-08-19,1075.6300048828125,4290540000
2010-08-20,1071.68994140625,3761570000
2010-08-23,1067.3599853515625,3210950000
2010-08-24,1051.8699951171875,4436330000
2010-08-25,1055.3299560546875,4360190000
2010-08-26,1047.219970703125,3646710000
2010-08-27,1064.5899658203125,4102460000
2010-08-30,1048.9200439453125,2917990000
2010-08-31,1049.3299560546875,4038770000
2010-09-01,1080.2900390625,4396880000
2010-09-02,1090.0999755859375,3704210000
2010-09-03,1104.510009765625,3534500000
2010-09-07,1091.8399658203125,3107380000
2010-09-08,1098.8699951171875,3224640000
2010-09-09,1104.1800537109375,3387770000
2010-09-10,1109.550048828125,3061160000
2010-09-13,1121.9000244140625,4521050000
2010-09-14,1121.0999755859375,4521050000
2010-09-15,1125.0699462890625,3369840000
2010-09-16,1124.6600341796875,3364080000
2010-09-17,1125.5899658203125,4086140000
2010-09-20,1142.7099609375,3364080000
2010-09-21,1139.780029296875,4175660000
2010-09-22,1134.280029296875,3911070000
2010-09-23,1124.8299560546875,3847850000
2010-09-24,1148.6700439453125,4123950000
2010-09-27,1142.1600341796875,3587860000
2010-09-28,1147.699951171875,4025840000
2010-09-29,1144.72998046875,3990280000
2010-09-30,1141.199951171875,4284160000
2010-10-01,1146.239990234375,4298910000
2010-10-04,1137.030029296875,3604110000
2010-10-05,1160.75,4068840000
2010-10-06,1159.969970703125,4073160000
2010-10-07,1158.06005859375,3910550000
2010-10-08,1165.1500244140625,3871420000
2010-10-11,1165.3199462890625,2505900000
2010-10-12,1169.77001953125,4076170000
2010-10-13,1178.0999755859375,4969410000
2010-10-14,1173.81005859375,4969410000
2010-10-15,1176.18994140625,5724910000
2010-10-18,1184.7099609375,4450050000
